Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
下げる,さげる,"to hang, to suspend, to wear (decoration), to lower, to reduce, to bring down, to demote, to move back, to pull back, to clear (plates), to remove (food)",trans.,機長は機首を下げた,窓にカーテンを下げる,温度を下げる,靴下,地下,廊下
片付ける,かたずける,"to tidy up, to put in order, to straighten up, to clan, to settle, to clear, to bring something to an end",trans.,部屋を片付ける,いすを部屋の隅に片付けた,彼女はてきぱきと仕事を片付けた,破片,片道,片隅
救う,すくう,"to rescue from, to help out of, to save",trans.,頭は悪いが性格がよいので救われる,この犬は山の遭難者を救うように訓練されている,困難にぶつかるといつも兄が救ってくれた,救済,救助,救急車
減る,へる,"to decrease, to diminish, to abate",intrans.,会員数が減った,体重が５キロ減った,灯油の貯えが減ってきた,加減,減少する,削減する
減らす,へらす,"to abate, to decrease, to diminish, to shorten",trans.,出費を減らす,医者に酒を減らせと言われた,減食して体重を減らしているところだ,減量する,減税する,激減
伺う,うかがう,"to ask, to inquire, to hear, to be told, to seek direction, to visit, to speak to",trans.,この問題についてご意見を伺いたい,ちょっと伺いますが駅はどっちでしょう,おうわさはかねがね伺っております,伺い書,経伺,機嫌伺い
祈る,いのる,"to pray, to wish",trans.,,,,,,
頑張る,がんばる,"to persevere, to persist, to keep at it, to hang on, to hold out, to do one’s best",intrans.,,,,,,
晒す,さらす,"to expose (sun, public, danger, etc.), to bleach, to refine, to rinse (vegetables), to soak",trans.,,,,,,
届く,とどく,"to reach, to arrive, to get get through, to be attentive, to pay attention, to be delivered, to carry (sound)",intrans.,,,,,,
踊る,おどる,to dance,intrans.,,,,,,
歌う,うたう,to sing,trans.intrans.,,,,,,
気にする,きにする,"to mind, to care about, to worry, to pay undue attention",suru,,,,,,
腹を立てる,はらをたてる,"to take offense, to take offense, to get angry, to lose one’s temper",ichidan,,,,,,
似合う,にあう,"to suit, to match, to become, to be like",intrans.,,,,似る,真似する,類似する
打つ,うつ,"to hit, to strike, to knock, to beat, to punch, to slap, to tap, to bang, to clap, tp pound, to move, to impress, to touch, to drive in, to inject, to type, to send",trans.,,,,打撃,打率,打開
押さえる,おさえる,"to pin down, to hold down, to press down, to cover, to press (a body part), to get a hold of, to obtain, to contain, to grasp (a point), to subdue",trans.,チケットを２枚押さえておいてください,耳を押さえる,風に飛ばされないように戸をしっかりと押さえていた,押収,押入れ,押し込む
結ぶ,むすぶ,"to tie, to bind, to link, to bear (fruit), to close (a deal), to connect, to close tightly, to unite, to ally",trans.,靴ひもを結ぶ,このバス路線は２都市を結んでいる,彼らは愛情によって結ばれた,結婚,結果,結構
呼び捨てにする,よびすてにする,"addressing (someone) without using a suffix such as ""san"" or ""chan""",suru,,,,,,
透かす,すかす,"to look through, to hold up to the light, to make an opening; to leave space; to space (lines); to prune (trees)",trans.,窓ガラスを透かして内部をうかがった,紙を太陽に透かしてみると，透かしがはっきり見えた,ここのところをもう少し透かしたほうがよい,透明,浸透,透き通る
透ける,すける,"to be transparent, to show through",intrans.,この紙は透ける,肌が透けて見えるブラウス,この布は水に濡れても透けない,手透き,透明度,透徹する
透く,すく,"to be transparent, to leave a gap",intrans.,この辺は枝が透いている,歯が透いている,透いて見える,透析,不透明,透過性
浸かる,つかる,"to be submerged, to be soaked, to be pickled, to be well seasoned, to be totally immersed ",intrans.,全村が水に浸かった,家が床下まで水に浸かった,温泉に浸かりながら酒を飲んだ,浸透,浸水,侵食
漬ける,つける,"to soak (in), to steep, to dip, to dunk, to pickle, to preserve (in salt, vinegar, etc.)",trans.,洗濯物を水に漬ける,魚を酢に漬けると腐りにくい,汚れた食器は少し水に浸けてから洗いなさい,漬物,茶漬け,漬け
浸る,ひたる,"to be soaked in, to be flooded, to be submerged, to be immersed in",intrans.,川があふれて村が水に浸った,湯船に浸る,彼は逸楽に浸った,浸透,浸水,侵食
浸す,ひたす,"to soak; to dip, to steep, to immerse, to moisten; to wet",trans.,豆を水に浸す,スポンジを水に浸した,石けん水に10分ほど汚れた衣類を浸しておいた,浸透,浸水,侵食
癒す,いやす,"to heal, to cure, to satisfy (e.g. hunger, thirst), to alleviate (e.g. sorrow, fatigue)",trans.,心を癒すピアノ音楽,時が彼女の悲しみを癒した,時はすべての傷を癒してくれる,治癒,癒着,快癒
探検する,たんけんする,"exploration, expedition",suru,未知の国を探検する,彼は北極の探検に出掛けた,彼はアフリカへ探検旅行に行くのが好きだ,探す,探求する,検査する
遭う,あう,"to meet, to encounter (undesirable nuance) ",,,,,,,
追う,おう,"to chase, to run after, to follow, to drive out, to be pressed (e.g. for time)",,,,,,,
負う,おう,"to bear, to carry on one's back, to take responsibility, to owe, to be injured",,,,,,,
飼う,かう,"to keep, to raise, to feed",,,,,,,
請う,こう,"to ask, to request, to beg, to invite ",,,,,,,
吸う,すう,"to smoke, to suck, to breathe in, to inhale ",,,,,,,
沿う,そう,"to run along, to follow, to comply with",,,,,,,
添う,そう,"to accompany, to become married, to comply with ",,,,,,,
問う,とう,"to ask, to inquire, to question, to charge, to accuse, without regard to (neg) ",,,,,,,
縫う,ぬう,"to sew, to stitch, to weave one's way (e.g. through a crowd) ",,,,,,,
這う,はう,"to creep, to crawl",,,,,,,
舞う,まう,"to dance, to flutter about, to revolve ",,,,,,,
酔う,よう,"to get drunk, to become",,,,,,,
開く,あく,"to open, to become open",,,,,,,
空く,あく,"to open, to become empty",,,,,,,
行く,いく,to go,,,,,,,
浮く,うく,"to float, to become merry, to become loose",,,,,,,
置く,おく,to put,,,,,,,
書く,かく,to write,,,,,,,
描く,かく,"to draw, to paint, to sketch, to depict, to describe ",,,,,,,
掻く,かく,"to scratch, to perspire",,,,,,,
欠く,かく,"to lack, to break, to crack, to chip ",,,,,,,
嗅ぐ,かぐ,"to sniff, to smell",,,,,,,
聞く,きく,"to hear, to listen to, to ask",,,,,,,
漕ぐ,こぐ,"to row, to scull, to pedal",,,,,,,
咲く,さく,to bloom,,,,,,,
裂く,さく,"to tear, to split",,,,,,,
敷く,しく,"to spread out, to lay out",,,,,,,
炊く,たく,"to boil, to cook",,,,,,,
焚く,たく,"to burn, to kindle, to build a fire ",,,,,,,
就く,つく,"to take (seat, position), to get (a job) ",,,,,,,
点く,つく,"to catch fire, (electricity) comes on ",,,,,,,
突く,つく,"to thrust, to strike, to poke ",,,,,,,
注ぐ,つぐ,"to pour (into), to irrigate, to pay ",,,,,,,
次ぐ,つぐ,"to rank next to, to come after ",,,,,,,
接ぐ,つぐ,"to join, to pice together, to set (bones), to graft (tress)",,,,,,,
継ぐ,つぐ,to succeed,,,,,,,
解く,とく,"to unfasten, to solve",,,,,,,
溶く,とく,to dissolve (paint),,,,,,,
説く,とく,"to explain, to advocate, to preach, to persuade ",,,,,,,
退く,どく,"to retreat, to recede, to withdraw ",,,,,,,
研ぐ,とぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash(rice) ",,,,,,,
泣く,なく,"to weep, to cry",,,,,,,
抜く,ぬく,"to extract, to omit, to surpass, to draw out, to unplug ",,,,,,,
脱ぐ,ぬぐ,to take off clothes,,,,,,,
履く,はく,"to wear, to put on (lower body) ",,,,,,,
吐く,はく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge ",,,,,,,
掃く,はく,"to sweep, to brush, to gather up ",,,,,,,
剥ぐ,はぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of ",,,,,,,
弾く,ひく,"to play an instrument with strings, including piano ",,,,,,,
轢く,ひく,"to run somebody over (with vehicle), to knock someone down ",,,,,,,
吹く,ふく,to blow,,,,,,,
拭く,ふく,"to wipe, to dry",,,,,,,
巻く,まく,"to wind, to coil, to roll",,,,,,,
蒔く,まく,to sow (seeds),,,,,,,
撒く,まく,"to scatter, to sprinkle, to sow ",,,,,,,
剥く,むく,"to peel, to skin, to pare, to hull ",,,,,,,
焼く,やく,"to bake, to grill",,,,,,,
沸く,わく,"to boil, to grow hot, to get excited ",,,,,,,
湧く,わく,"to boil, to grow hot, to get excited, to gush forth ",,,,,,,
押す,おす,"to push, to stamp something ",,,,,,,
貸す,かす,to lend,,,,,,,
消す,けす,"to erase, to turn off power",,,,,,,
越す,こす,"to go over (e.g. with audience), to cross over (e.g. mountain), to pass time (e.g. a winter)",,,,,,,
超す,こす,"to cross, to pass, to tide over, to surpass",,,,,,,
差す,さす,"to stretch out hands, to raise an umbrella",,,,,,,
指す,さす,"to point, to nominate, to select someone, to identify, to indicate, to play a game, to move a piece",,,,,,,
刺す,さす,"to pierce, to stab, to prick, to thrust ",,,,,,,
挿す,さす,"to insert, to put in, to graft, to wear in belt ",,,,,,,
注す,さす,"to pour (drink), to serve (drinks) ",,,,,,,
射す,さす,"to shine, to strike",,,,,,,
足す,たす,"to add numbers, to add something, to top up with something",,,,,,,
出す,だす,"to put out, to take out, to get out, to show, to submit, to publish, to send",,,,,,,
為す,なす,"to accomplish, to do, to build up, to establish, to form",,,,,,,
干す,ほす,"to air, to dry, to desiccate, to drain (off), to drink up ",,,,,,,
増す,ます,"to increase, to grow",,,,,,,
蒸す,むす,"to steam, to poultice, to be sultry ",,,,,,,
召す,めす,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink",,,,,,,
止す,よす,"to cease, to abolish, to resign, to give up ",,,,,,,
打つ,うつ,to hit,,,,,,,
撃つ,うつ,"to attack, to defeat, to destroy ",,,,,,,
討つ,うつ,"to attack, to avenge",,,,,,,
勝つ,かつ,to win,,,,,,,
立つ,たつ,to stand,,,,,,,
経つ,たつ,"to pass, to lapse",,,,,,,
建つ,たつ,"to erect, to be erected, to be built ",,,,,,,
発つ,たつ,"to depart (on a plane, train, etc.) ",,,,,,,
絶つ,たつ,"to sever, to cut off, to suppress, to abstain (from) ",,,,,,,
打つ,ぶつ,"to hit, to strike",,,,,,,
死ぬ,しぬ,to die,,,,,,,
飛ぶ,とぶ,"to fly, to hop",,,,,,,
跳ぶ,とぶ,"to jump, to fly, to leap",,,,,,,
呼ぶ,よぶ,"to call out, to invite",,,,,,,
編む,あむ,to knit,,,,,,,
産む,うむ,"to give birth, to deliver, to produce ",,,,,,,
噛む,かむ,"to bite, to chew",,,,,,,
組む,くむ,to put together,,,,,,,
汲む,くむ,"to draw (water), to dip, to scoop, to pump",,,,,,,
酌む,くむ,to serve sake,,,,,,,
込む,こむ,to include,,,,,,,
混む,こむ,to be crowded,,,,,,,
住む,すむ,to live in,,,,,,,
済む,すむ,to finish,,,,,,,
澄む,すむ,"to clear (e.g. weather), to become transparent",,,,,,,
積む,つむ,"to pile up, to stack",,,,,,,
富む,とむ,"to be rich, to become rich",,,,,,,
飲む,のむ,to drink,,,,,,,
踏む,ふむ,to step on,,,,,,,
揉む,もむ,"to rub, to crumple (up), to wrinkle ",,,,,,,
止む,やむ,to stop,,,,,,,
病む,やむ,"to fall ill, to be ill",,,,,,,
有る,ある,"to be, to have(used for inanimate objects)",,,,,,,
