Words,Translation
今はどちらかと言うと質を重視しているので,"Now, I'm more focused on quality."
週に一回、二週間に1回のアップロードになっています,I'm uploading once a week or once every two weeks.
だから動画を撮るときも結構緊張するんですよね,That's why I'm pretty nervous when I take videos.
その7月に撮った時は「ま、とりあえずとる」っていう感じで,"When I took the video in July, I was just like, ""Well, I'll just take it."
正直あまり緊張しなかったんですよ,"To be honest, I wasn't too nervous."
緊張はするんですけど,I do get nervous.
今と比べて緊張しなかったんですね,But I wasn't as nervous as I am now.
だからなんだろう,So I don't know.
もっと自分がリラックスして,I think it would be better if I could relax more.
撮影できる方がいいと思うんですね,I think it would be better if I could just relax and shoot.
わからない。皆さん役に立つのがどちらなのかわからないんですけど,I don't know. I don't know which would be more useful for everyone.
今考えてるのは話しながら,What I'm thinking about is talking.
私、結構部屋の中で話すのは好きじゃないんですよ。一人で話すのとか,I don't really like to talk in a room. I don't like to talk alone.
だから外で歩きながらカメラに向かって,I don't like talking in a room.
こんなことを話すのがいいのかなとか思ったりします,I think it would be better to talk about this kind of thing.
この話はyoutubeだけじゃなくて,This story is not only about youtube.
他の言語の学習にも言えることです,"It's not only about youtube, but also about learning other languages."
皆さんは日本語を勉強していると思うんですけど,I'm sure you're studying Japanese.
たくさんとりあえず,I'm sure you're studying Japanese.
文法を気にせず話すことと,I think it's important to speak without worrying about grammar
文法とか漢字を勉強して、ちゃんとした,"Study grammar and kanji, and speak in proper"
きちんとした日本語で話すこと,To speak in proper Japanese
それのバランスをとるのがすごく難しいですよね,It's very difficult to find a balance between the two.
それと似ていると思いました,I think it's similar to that.
会話だけ上達したいのであれば,If you only want to improve your conversation
とにかく話すことが大事（コミニュケーションを学ぶ上で大切）,It's important to speak anyway (important for learning communication)
とにかくたくさんネイティブの音を聞くことが大事(immersion)だと思うんですけど,I think it's important to listen to the sounds of native speakers as much as possible (immersion).
やっぱり試験を受けたり,I think it is important to take exams and
日本で働いたり、勉強したりするとなれば文法だとか,"But if you want to take an exam, work in Japan, or study in Japan, you need to be able to read things like grammar and kanji."
漢字とかが読めないと厳しいと思います。,"But if you want to take an exam, work in Japan, or study, you need to be able to read grammar and kanji."
なので自分の目標,"So, what is your goal?"
どこを目指しているのか,Where do you want to go?
っていうのをはっきりさせて,What is your goal?
まぁできれば,"Well, if possible"
バランスよく勉強出来たら,I think it would be good if you could study in a balanced way
いいんじゃないかなって思います,I think it would be good if you could study in a balanced way.
はい、で、結構文法とかこうやって聞くことはかなり上手な人でも,"Yes, there are people who are very good at listening and grammar, but"
話すのがすごい苦手っていう方は,But there are many people who are not good at speaking.
