Expression,Reading,Meaning
人差指,ひとさしゆび,index finger
一通り,ひととおり,"general, briefly"
人通り,ひとどおり,pedestrian traffic
ひとまず,ひとまず,"for the present, once, for the time being"
瞳,ひとみ,pupil (of eye)
一休み,ひとやすみ,a rest
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself"
ひとりでに,ひとりでに,"by itself, automatically, naturally"
ビニール,ビニール,vinyl
皮肉,ひにく,"cynicism, sarcasm"
日日,ひにち,date
捻る,ひねる,"to twist, to turn"
日の入り,ひのいり,sunset
日の出,ひので,sunrise
響き,ひびき,"echo, sound"
響く,ひびく,to resound; to affect
皮膚,ひふ,skin
ひゃっかじてん,ひゃっかじてん,encyclopedia
美容,びよう,beauty of figure or form
～病,～びょう,kind of disease
表紙,ひょうし,"front cover, binding"
標識,ひょうしき,"sign, mark"
標準,ひょうじゅん,"standard, level"
標本,ひょうほん,"example, specimen"
評論,ひょうろん,"criticism, critique"
ビルディング,ビルディング,building
昼寝,ひるね,"nap (at home), siesta"
広さ,ひろさ,extent
広場,ひろば,plaza
広々,ひろびろ,"extensive, spacious"
ピンク,ピンク,pink
便箋,びんせん,"writing paper, stationery"
瓶詰,びんづめ,"bottling, bottled"
～部,～ぶ,~ part
ファスナー,ファスナー,"fastener, zipper"
～風,～ふう,~ style
風船,ふうせん,balloon
不運,ふうん,"unlucky, misfortune, bad luck"
不規則,ふきそく,"irregularity, unsteadiness"
普及,ふきゅう,"diffusion, spread"
付近,ふきん,"neighborhood, vicinity"
副～,ふく～,vice ~
副詞,ふくし,adverb
複写,ふくしゃ,"copy, duplicate"
複数,ふくすう,"plural, multiple"
膨らます,ふくらます,"to swell, to expand, to inflate"
膨らむ,ふくらむ,"to expand, to swell (out), to become inflated"
不潔,ふけつ,"unclean, dirty"
更ける,ふける,"to get late, to wear on"
符号,ふごう,"sign, mark, symbol"
夫妻,ふさい,"man and wife, married couple"
塞がる,ふさがる,"to be plugged up, to be shut up"
塞ぐ,ふさぐ,"to stuff, to close up, to block (up)"
ふざける,ふざける,"to romp, to gambol, to frolic"
無沙汰,ぶさた,neglecting to stay in contact
武士,ぶし,"warrior, samurai"
部首,ぶしゅ,radical (of a kanji character)
襖,ふすま,sliding screen
附属,ふぞく,"attached, belonging, affiliated"
蓋,ふた,"cover, lid, cap"
物騒,ぶっそう,"dangerous, disturbed, insecure"
ぶつぶつ,ぶつぶつ,"grumbling, complaining in a small voice"
船便,ふなびん,surface mail (ship)
部品,ぶひん,"parts, accessories"
吹雪,ふぶき,snow storm
父母,ふぼ,"father and mother, parents"
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover"
麓,ふもと,"the foot, the bottom, the base (of a mountain)"
フライパン,フライパン,"fry pan, frying pan"
ブラウス,ブラウス,blouse
ぶらさげる,ぶらさげる,"to hang, to suspend, to swing"
ブラシ,ブラシ,brush
プラットホーム,プラットホーム,platform
～振り,～ぶり,after an interval of ~
フリー,フリー,free
振り仮名,ふりがな,pronunciation key
振り向く,ふりむく,"to turn one's face, to turn around"
プリント,プリント,"print, handout"
古～,ふる～,old ~
故郷,ふるさと,"home town, birthplace"
古里,ふるさと,"home town, birthplace"
振舞う,ふるまう,"to behave, to conduct"
ブローチ,ブローチ,brooch
プログラム,プログラム,program
風呂敷,ふろしき,"wrapping cloth, cloth wrapper"
ふわふわ,ふわふわ,"light, soft"
噴火,ふんか,eruption
分解,ぶんかい,"analysis, disassembly"
文芸,ぶんげい,"literature, art and literature"
文献,ぶんけん,"literature, books (reference)"
噴水,ふんすい,water fountain
分数,ぶんすう,fraction (in math)
文体,ぶんたい,literary style
分布,ぶんぷ,distribution
文房具,ぶんぼうぐ,stationery
文脈,ぶんみゃく,context
分量,ぶんりょう,"amount, quantity"
分類,ぶんるい,classification
閉会,へいかい,closure
平気,へいき,"coolness, calmness, unconcern"
並行,へいこう,"(going) side by side, concurrent, at the same time"
平日,へいじつ,weekday
兵隊,へいたい,soldier
平凡,へいぼん,"common, ordinary"
平野,へいや,"plain, open field"
凹む,へこむ,"to be dented, to be indented"
へそ,へそ,"navel, belly-button"
隔てる,へだてる,to be shut out
別荘,べっそう,villa; vacation home; summer cottage
別々,べつべつ,"separately, individually"
ベテラン,ベテラン,veteran
ヘリコプター,ヘリコプター,helicopter
～遍,～へん,time
～弁,～べん,"speech, dialect"
編集,へんしゅう,"editing, compilation, editorial (e.g., committee)"
便所,べんじょ,"toilet, lavatory"
ペンチ,ペンチ,pliers (lit: pinchers)
～歩,～ほ,"step, pace"
～ぽい,～ぽい,~ish
～ほう (ひかく),～ほう (ひかく),(in comparison)
防～,ぼう～,~ prevention
望遠鏡,ぼうえんきょう,telescope
方角,ほうがく,"direction, way"
箒,ほうき,broom
方言,ほうげん,dialect
坊さん,ぼうさん,"Buddhist priest, monk"
防止,ぼうし,"prevention, check"
方針,ほうしん,"objective, plan, policy"
法則,ほうそく,"law, rule"
包帯,ほうたい,bandage
膨大,ぼうだい,"enormous, extensive"
包丁,ほうちょう,"kitchen knife, carving knife"
方程式,ほうていしき,equation
防犯,ぼうはん,prevention of crime
方面,ほうめん,direction; area
坊や,ぼうや,boy
放る,ほうる,to let go
ボーナス,ボーナス,bonus
朗らか,ほがらか,"bright, cheerful, melodious"
牧場,ぼくじょう,farm (livestock); pasture land
牧畜,ぼくちく,stock-farming
保健,ほけん,"health preservation, hygiene, sanitation"
募集,ぼしゅう,recruitment
干す,ほす,"to air, to dry, to drink up"
ポスター,ポスター,poster
北極,ほっきょく,North Pole
坊っちゃん,ぼっちゃん,son (of others)
解く,ほどく,to unfasten
掘る,ほる,"to dig, to excavate"
彫る,ほる,"to carve, to chisel"
ぼろ,ぼろ,"rag, tattered clothes"
盆,ぼん,Festival of the Dead; tray
盆地,ぼんち,"basin (e.g., between mountains)"
ほんの～,ほんの～,"mere, just"
本部,ほんぶ,headquarters
本来,ほんらい,"essentially, naturally, by nature"
まあまあ,まあまあ,okay; so-so; decent
毎～,まい～,every ~
枚数,まいすう,the number of flat things
毎度,まいど,"each time, common service-sector greeting"
枕,まくら,pillow
曲げる,まげる,"to bend, to crook, to lean"
まごまご,まごまご,"confused, be at a loss"
摩擦,まさつ,friction; rubbing; chafe
マスク,マスク,mask
またぐ,またぐ,to straddle
待合室,まちあいしつ,waiting room
待ち合わせる,まちあわせる,"to rendezvous, to meet at a prearranged place and time"
街角,まちかど,street corner
真っ暗,まっくら,total darkness
真っ黒,まっくろ,pitch black
真っ青,まっさお,"deep blue, ghastly pale"
真っ先,まっさき,"foremost, beginning"
真っ白,まっしろ,pure white
祭る,まつる,"to deify, to enshrine"
窓口,まどぐち,(ticket) window
真似る,まねる,"to mimic, to imitate"
まぶた,まぶた,eyelids
マフラー,マフラー,a winter scarf
間も無く,まもなく,"soon, in a short time"
マラソン,マラソン,marathon
稀,まれ,"rare, seldom"
回り道,まわりみち,detour
満員,まんいん,"full house, no vacancy, sold out"
マンション,マンション,"multistory apartment house, condominium"
満点,まんてん,perfect score
未～,み～,not yet ~
見上げる,みあげる,"to look up at, to admire"
見送る,みおくる,to see off; to escort; to let pass
見下ろす,みおろす,"to overlook, to look down on something"
見掛け,みかけ,outward appearance
三日月,みかづき,crescent moon
岬,みさき,cape (on coast)
みじめ,みじめ,"sad, pitiful, wretched"
ミシン,ミシン,sewing machine
自ら,みずから,"for one's self, personally"
水着,みずぎ,bathing suit (woman's)
店屋,みせや,"store, shop"
～みたい,～みたい,looks like ~
見出し,みだし,"heading, index"
道順,みちじゅん,"itinerary, route"
みっともない,みっともない,"shameful, indecent"
見詰める,みつめる,"to stare at, to gaze at"
見直す,みなおす,"to look over again, to review"
見慣れる,みなれる,"to become used to seeing, to be familiar with"
醜い,みにくい,ugly
実る,みのる,"to bear fruit, to ripen"
身分,みぶん,"position, status"
見本,みほん,sample
見舞う,みまう,"to ask after (health), to visit"
未満,みまん,"less than, insufficient"
名字,みょうじ,"surname, family name"
ミリ (メートル),ミリ (メートル),milli-
民間,みんかん,"private, civilian"
民主～,みんしゅ～,democratic
民謡,みんよう,"folk song, popular song"
～向け,～むけ,for ~
無限,むげん,infinite
無地,むじ,plain
矛盾,むじゅん,"contradiction, inconsistency"
無数,むすう,"countless number, infinite number"
紫,むらさき,"purple color, violet"
群れ,むれ,"crowd, flock, herd"
姪,めい,niece
名～,めい～,famous ~
～名,～めい,counter for people
名作,めいさく,masterpiece
名所,めいしょ,famous place
命ずる,めいずる,"to command, to appoint"
迷信,めいしん,superstition
名物,めいぶつ,"famous product, special product, speciality"
銘々,めいめい,"each, individual"
恵まれる,めぐまれる,"to be blessed with, to be rich in"
巡る,めぐる,to go around
目指す,めざす,"to aim at, to have an eye on"
目覚し,めざまし,alarm-clock
目下,めした,"at present, now"
目印,めじるし,"mark, sign, landmark"
目立つ,めだつ,"to be conspicuous, to stand out"
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked"
めっきり,めっきり,remarkably
めでたい,めでたい,"happy, propitious, joyous"
メニュー,メニュー,menu
めまい,めまい,"dizziness, giddiness"
目安,めやす,"criterion, aim"
免税,めんぜい,tax exemption
面積,めんせき,area
面倒臭い,めんどうくさい,"bother to do, tiresome"
儲かる,もうかる,"to be profitable, to yield a profit"
儲ける,もうける,"to earn, to have (bear, beget) a child"
申し訳ない,もうしわけない,"inexcusable, I am sorry"
モーター,モーター,motor
木材,もくざい,"lumber, timber, wood"
目次,もくじ,table of contents
潜る,もぐる,"to drive, to pass through; to evade, to hide"
もしかしたら,もしかしたら,"perhaps, maybe, by some chance"
もたれる,もたれる,"to lean against, to lean on"
モダン,モダン,modern
餅,もち,sticky rice cake
～もち,～もち,person who has ~
モデル,モデル,a fashion model
元々,もともと,"originally, by nature, from the start"
物置,ものおき,storage room
物語る,ものがたる,"to tell, to indicate"
物差し,ものさし,"ruler, measure"
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent"
モノレール,モノレール,monorail
紅葉,もみじ,(Japanese) maple
揉む,もむ,"to rub, to crumple (up), to wrinkle"
催し,もよおし,"event, festivities, function"
盛る,もる,to serve (food); to fill up; to prescribe
