Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
ふーん,Hmm.,1500円それはもいいよ,I'll give you 1500 yen.,人型シュラフは手足が分かれて自由に歩く事ができる、だって,The human-shaped shrug has separate arms and legs so you can walk freely.,知る人ぞ知る、超絶景スポット、高ボッチ高原,"Takabocchi Plateau, a spot with a superb view known only to those in the know.",次は豚バラ、これも塩で,"Next, pork belly, also with salt.",安い！,Cheap!,今のって一学期も、中学校のときも、何度も聞いとるセリフや,I've heard that line so many times in the first semester and in middle school.,という訳,That's why.,それ多分置きっぱなしになってるやつだ,That's probably where they left it.,少し早いけどキャンプ場着いたよ,We're at the campground a little early.,いつまでも入れねえ,I can't take a bath forever.
実は君のような逸材を待っていたのだよ,I've actually been waiting for a gem like you.,好きなだけ使いなよ、鍋作ってくれているし,"You can use it as much as you like, you're making a pot",ねえねえ、これ着たら皆で月面着陸ごっこできるよ,"If we wear these, we can play landings on the moon together.",頂上からは松本市や諏訪湖、富士山までも一望できるらしい,"From the top, you can see Matsumoto City, Lake Suwa, and even Mount Fuji!",私は塩豚トロとか焼くかな,I'll grill salted pork belly.,リンちゃん、リンちゃん、これは、これは・・・,"Lin, Lin, this, this...",これもしかして、帰れんくなるパターンじゃ？,I wonder if this is a pattern that will keep me from going home?,私の屍を越えてゆけキャンプ,Go camping over my dead body.,本当に？それ多分置きっぱなしになってるやつだ,Really? That's probably the one that's been left there.,受付済んでるみたいだけど、どこにいるの？,I see you're already registered. Where are you?,たまらんなー,I can't wait.
クッキーとか食う？,Want a cookie or something?,本当？ありがとう！,Really? Thanks!,月面着陸ごっこ？,Landing on the moon?,よし。上まで後９キロ,Okay. Only nine kilometers to the top.,お、それもあり,"Oh, that's a good idea.",まず自分のテント立てろや,Why don't you set up your own tent first?,じゃ、そろそろ帰るか,"Well, I guess I better get going.",後でお見舞いメール送っとこう,I'll send you a condolence mail later.,本当に？,Really?,子供だ,Kid.,いっぱい遊んでいっぱい食べたね,We had a lot of fun and ate a lot of food.
ちゅうわけで、私は犬山あおい、こっちが大垣千明,"So, I'm Aoi Inuyama, and this is Chiaki Ogaki.",でもこれはあの時のお返しなんだ,But this is for that time.,いいな、それ,I like that.,ついた。,I'm here.,ご飯食べつつカルビ焼いて,Let's eat rice and grill kalbi.,よし、準備完了,"Okay, we're all set.",せやな,I guess so.,じゃ、私そろそろ寝るよー,"Well, I'm going to bed soon.",騙されたとおもってさ,I think we've been duped.,しかし、すげーいい場所だな、ここ,"It's a nice place, though.",私冬キャンプなんて初めてだったけど、すごく楽しめたよ,"I've never been to a winter camp before, but I really enjoyed it."
よろしくな,Nice to meet you.,あの時？,That time?,あとさ、化学繊維とダウンの2種類あるけど、どっちがいいの？,"Also, there are two types, synthetic fiber and down, which one is better?",150キロ走りきった,I've run 150 kilometers.,ロース、ハラミはタレで,Loin and harami with sauce.,寒さ対策もバッチリだよ,I'm also prepared for the cold.,帰ったら、木皿でスープ飲んじゃおう,"When I get home, I'm going to drink soup from a wooden plate.",お土産よろしくねー,Thank you for the souvenirs.,ああ、くれぐれもゆっくりな,"Yeah, take your time.",見晴らしもいいし、とりあえずこのへんにテント張っちゃうか,It's got a great view. I think I'll just pitch my tent here.,二人とも誘ってくれてありがとう,Thank you both for inviting me.
各務原なでしこですよろしくね,"I'm Nadeshiko Kakamigahara, nice to meet you.",カレー麺の,The curry noodles.,それな,That's the one.,疲れた,I'm exhausted.,やばいやばい,"Oh, no, no, no!",今寝ると、丑三つ時に目が冴えるよ,"If we go to sleep now, we'll be wide awake in the middle of the night.",でも、この木皿熱い料理ダメって書いてあるで,But this wooden plate says no hot food.,寝たらお土産無しな,No souvenirs if you go to sleep.,もし通れなくて引き返してもロスは10分ぐらいだしさ,"If we can't get through and we have to turn around, we'll only lose about 10 minutes.",4個目,Four.,いえいえ,No problem.
野クルへようこそ,Welcome to Nokuru.,できるまで鍋を覗いてはダメですよ,Don't look into the pot until it's ready.,冬用は嵩張るから、圧縮に優れたダウンの方が小さくできていいんやけど・・・,"Winter clothes are bulky, so down is better because it compresses better, but...",のどかな所だな,It's a peaceful place.,ホルモンもいこっか私、シロコロホルモンで,"I think I'll have some hormone, too.",ココア飲む？,Want some cocoa?,ん？,Hmm?,ギギギギ,Gigi-gi-gi.,本当に抜けられた,I really got through.,そろそろ着くわよ,We're almost there.,あの、先生、今日、私たちに付き添ってくれてよかったんですか？,"Um, sir, are you sure you're okay with us going with you today?"
ありがとう,Thank you.,なでしこの恩返し,Nadeshiko's return favor,けど？,But?,何もいない,There's nothing here.,一度網をきれいにして、もう１度塩物を軽く食べる,I cleaned the net once and ate the salted food lightly once more.,うん、飲む,"Yes, I do.",本当だ、熱い料理がダメ、匂いの強い料理がダメ、熱湯がダメ、,"No hot food, no smelly food, no boiling water.",南アルプス市,Minami-Alps City.,何もなくてよかった,I'm glad nothing happened.,よし,Okay.,ん？,Hmm?
何でこここんなに？,Why is this place so small?,ねえ、リンちゃん、貼るカイロってどこに貼ると一番効くのかなぁ,"Hey, Rin-chan, where should I put the pocket warmer to make it work best?",同じ体感温度で化繊のものより２－３諭吉程お高くなっております,It costs about 2-3 yen more than synthetic fiber for the same sensory temperature.,夏に来れば、牛とかいるのかな,I wonder if there would be cows here in the summer.,そうそう,"Yes, yes!",この一杯がたまらない,I love this cup.,水に付けておくのもダメ,You can't even leave it in water.,入った,I'm in.,よし！,All right!,おおおい、リンちゃん！,"Hey, Lin!",クリスマスだし,It's Christmas.
狭いかって？,You ask why it's so small?,両目,Both eyes,化繊でもやすくて、五千円か。まだ高いな,"It's easy to buy synthetic fiber, but 5,000 yen? Still expensive.",寒い,It's cold.,で、最後にスープで締め,"And finally, soup to finish it off!",そう言えば、お姉さんもう帰っちゃったのかな,"By the way, I wonder if your sister has already left.",って、何に使えばいいんだよ？,So what am I supposed to use it for?,風邪治っちゃった,I'm over my cold.,こんな時間だしさっさと設営だ,Let's set up quickly since it's so late.,元気なやつが来た,Here comes the energetic one.,彼氏さんはいいのかなと,I was wondering if your boyfriend was okay with it.
もともと使っとらん用具入れやったんや,It used to be a storage space for unused equipment.,カイロを貼るときは首の付け根,The base of the neck when applying the warmer,いっそ、シュラフに頼らず暖を取って、やり過ごすのもありだな。例えば,I think it's better to keep warm and not rely on a sleeping bag. For example,さてと、とりあえず温泉行こう,"Well, let's go to the hot spring.",アイスもあるよ,There's ice cream too!,何やってる人なんだろう？,What's she doing here?,サンドイッチ乗せるとか,Sandwiches.,まだ7時前,It's not even 7:00.,風が強い所でテントを立てるときはペグを打ちつつ設営していきましょう,"When setting up a tent in a windy area, it's best to use pegs while setting up.",2時まで待ちきれなくて,I couldn't wait till 2:00.,火おこしのお兄さん,The fireman.
4月にうちらが作ったばかりのサークルで部員も2人しかおらんし,"We just started this club in April, and we only have two members.",みぞおち,Between the shoulder blades,使い捨てかいろ、湯たんぽ、,"Disposable heaters, hot water bottles.",確か、この先にあったはず,I think there's one just up ahead.,お会計３５０００円となります,"The total bill will be 35,000 yen.",大学生かな？,Is she a college student?,何だその間抜けな使い方,What kind of stupid use is that?,いますぐ連絡すれば,If only I'd called right away,やっと設営できた,We're finally set up.,12時集合でよかったかもね,Maybe we should have met at 12.,えっと,Well...
